,Column Labels,,,,,,,,,,,,,,,,,
,0,,1,,2,,3,,4,,5,,6,,7,,Total Average of total_return,Total Count of ticker
Row Labels,Average of total_return,Count of ticker,Average of total_return,Count of ticker,Average of total_return,Count of ticker,Average of total_return,Count of ticker,Average of total_return,Count of ticker,Average of total_return,Count of ticker,Average of total_return,Count of ticker,Average of total_return,Count of ticker,,
Communication Services,-0.648136911,3,1.023439356,9,,,,,0.330925738,7,,,,,-0.429333052,2,0.415445597,21
Consumer Discretionary,-0.91694798,25,0.793868173,24,,,0.236757771,1,0.158643485,5,,,0.503239755,1,0.398775556,5,-0.005635584,61
Consumer Staples,-1.075093861,6,0.731969117,3,,,,,0.239617423,13,-1.363154495,1,1.35620626,2,-0.218454265,7,-0.041235973,32
Energy,-0.884305342,6,0.560760735,10,0.091953023,1,0.341463231,2,-0.617066781,4,,,,,0.330592332,5,0.009333904,28
Financials,-1.11046437,19,0.990139586,24,,,,,-0.180376127,13,,,,,0.178320543,9,0.029608035,65
Health Care,-0.89092687,19,0.792664567,19,,,,,0.132610254,12,,,0.261501829,2,0.155986996,9,0.027069277,61
Industrials,-0.996158173,15,0.655304102,20,,,,,-0.029301177,15,,,,,0.026851397,17,-0.027154246,67
Information Technology,-0.854935466,20,0.735062442,25,,,,,0.224599755,9,,,,,0.067774363,12,0.062311241,66
Materials,-1.203074664,12,0.287507969,6,,,,,0.304422789,2,,,,,0.240768249,3,-0.494812949,23
Real Estate,-1.002229116,14,0.561012997,8,,,,,-0.04245657,5,,,,,0.376352085,5,-0.246050815,32
Utilities,-1.100012639,7,1.693449149,8,,,,,-0.193369651,6,,,0.222685668,1,0.406027505,5,0.257041111,27
(blank),-1.170954123,,0.293827344,,,,,,,,,,,,,,-0.43856339,
Grand Total,-0.979803858,146,0.805277053,156,0.091953023,1,0.306561411,3,0.041990278,91,-1.363154495,1,0.6602236,6,0.128756078,79,2.36695E-16,483
